date,symbol,name,address,price_usd,volume_24h_usd,liquidity_usd,fdv_usd,source,data_status,missing_streak,whale_transfers_24h,large_buys,large_sells,net_whale_flow_usd,top_10_holders_pct,holder_concentration
2025-10-02,BAR,BullArena,Et2bFLuPCW77hGW2g7UdrboPVuxatFZt4BaCzhCqpump,0.0002451,32230.12,63019.69,245107.0,dexscreener,ok,0,,,,,,
2025-10-02,CRND,Crundle,BVvSqvTb9ZVNEkP5UsamR1egAWSGEZiQDU42FS7mmoon,0.0001899,30591.85,71671.96,189321.0,dexscreener,ok,0,,,,,,
2025-10-02,walkusa,WALKING ACROSS AMERICA,3BrXeqzNKUKsM6MgkWFZX4E2cY8SiwYNwwmVzP2Rpump,8.279e-05,16684.65,40633.46,82793.0,dexscreener,ok,0,,,,,,
2025-10-02,VIBECODER,Vibe Coding Meta,7PzU4m13VqkdgWcserfBdxX4cAPQXaZuFNuKarnT1deV,0.0001707,12397.99,61729.01,165667.0,dexscreener,ok,0,,,,,,
2025-10-02,pibble,pibble,GS3pHMUtYSu5PPuDFey74frkiRQhPdvx8jEeN6Qzbonk,7.876e-06,10742.41,9789.19,7877.0,dexscreener,ok,0,,,,,,
2025-10-02,1dog,1 dog can change your life,8erRtd8mLgNcNoWy2bhMdTgZyXaRR6u7t2hyXRc1pump,1.501e-05,10375.88,16590.32,14970.0,dexscreener,ok,0,,,,,,
2025-10-02,YAO,YAO MING,VnqKnEybGaw6G5ZAdjvPDri5RzDLPXznqxBunG13GJE,0.0001425,8481.83,62061.65,142434.0,dexscreener,ok,0,,,,,,
2025-10-02,SOL,Solana,9n4nbM75f5Ui33ZbPYXn59EwSgE8CGsHtAeTH5YFeJ9E,1593.7,2279.91,22034.24,25738278.0,dexscreener,ok,0,,,,,,
2025-10-02,MOON,Moon Moon,99YFbXS6iA7s1qkRDTMBXEywtLNmrRtHtGKvNxpKWcdT,1.002e-05,1564.6,13469.47,10020.0,dexscreener,ok,0,,,,,,
2025-10-02,FARTLESS,FARTLESS COIN,FyrBf5xKg5EwKZ9pHvSpJeLLuCWBicTpm3VvZcsibonk,0.0009978,1372.62,4060.69,997863.0,dexscreener,ok,0,,,,,,
2025-10-02,RWA,Real World Asses,7N8qk43L1PCcaqudkEasGpKqcunX1ChXYo2VB1g8bonk,1.058e-07,948.13,9485.74,7303.0,dexscreener,ok,0,,,,,,
2025-10-02,1% Club,The 1% Club,HpQUbEAcHrhwSJyYfXLNZvJz9SBksRJJStn86gFdbonk,4.17e-06,835.04,6780.68,4170.0,dexscreener,ok,0,,,,,,
2025-10-02,MINDWORMS,mindworms,iD9FqgeKmp58a4pTvh45MtKkHkudKNptFRdR8m6pump,4.682e-06,370.19,8662.39,4682.0,dexscreener,ok,0,,,,,,
2025-10-02,MOCHI,MOCHI CULT,4ky1REfghVawQ6EPZGdx7zss5KNKStwE8swjii3uU5sD,1.659e-05,267.34,24574.96,16592.0,dexscreener,ok,0,,,,,,
2025-10-02,7,7 Coin,CAamcXXVWM8b8DcpcT2rpEwwfNfBD2MXjHjCwRDBpump,9.608e-06,142.45,12703.85,9605.0,dexscreener,ok,0,,,,,,
2025-10-02,1cat,1 cat can change your life,8ghXDEBVbbYtfdV2cU8jpqsNmiZtDkSjBYmRzj8cpump,6.518e-06,99.0,0.0,6518.81,dexscreener,ok,0,,,,,,
2025-10-02,HOODIE,Hoodie,JFjfTn5VJkHpacwz7rbnGXDxRUCySZhZ2EdTkrAmoon,0.0003183,93.68,6074.85,318389.0,dexscreener,ok,0,,,,,,
2025-10-02,Pochita,Pochita,CmLrhRd762bfytq6f3ZV5iuivN1Q8oyPw4evyW4Mbonk,5.565e-06,80.74,9632.41,5565.0,dexscreener,ok,0,,,,,,
2025-10-02,FLY,Nexa,9NcUwy9JVekfsY4UA62ZaTprn4TDnJZwp5B6vMAAtkzt,0.017,79.01,146.53,17010.0,dexscreener,ok,0,,,,,,
2025-10-02,HAMSTERUN,Hamster Runner,FwYBWjDBDqqfLQYewPZm1Vv555ireHpgUyJP4rMYpump,4.434e-06,62.11,8548.65,4434.0,dexscreener,ok,0,,,,,,
2025-10-02,Mementoe,Mementoe,GCU5AT6U8bKYK76KBssLf5a3a3KoNoMGStaVdfeipump,4.421e-06,57.85,8326.25,4421.0,dexscreener,ok,0,,,,,,
2025-10-02,BLUB,Blub,HxMQWY4DLbUrPXyejuKvu2KJ618zdTRs9dXEuFGrpump,5.164e-06,54.46,9134.9,5001.0,dexscreener,ok,0,,,,,,
2025-10-02,PILL,PumpFun Pill,8z55m3BmsPkmDfi5b5dAomBvYi1cDmW92hrEJTLdpump,7.73e-06,48.33,11153.88,7726.0,dexscreener,ok,0,,,,,,
2025-10-02,Noxi,Noxi Labs AI,F2yfGhxEi7Hw2mr2XQ3MLrdamiPt2rkdMf8PSyAGpump,6.201e-06,48.25,10029.65,6200.0,dexscreener,ok,0,,,,,,
2025-10-02,AI20X,Ai20x.ai,DKffyw1oEVWR3ik7q7tb2shhmZ3jbTkRzT6R5banCxai,1.29,40.91,2920441.85,27153632.0,dexscreener,ok,0,,,,,,
2025-10-02,Bagwork,African Bagwork,6NVo6X8ouYRVoKRWe7Y9J6CT4pWZXDthSJCBZ3vgUg8z,5.157e-06,27.96,9636.36,5124.0,dexscreener,ok,0,,,,,,
