date,address,symbol,signal,score,vol_mom_3v1,vol_mom_5v3,zscore_vol_10d,zscore_liq_10d,vol_3d,liq_3d,presence_7d,presence_30d,current_streak_days,name,top_10_holders_pct,top_5_holders_pct,holder_concentration,concentration_risk
2025-10-03,4Xs7RvaV3nbWBvb6yWjxvwPKkBxefXe1bPJcvnVspump,BULLCOIN,Watch,1.0,1.61,1.0,1.0,1.0,28.44,10049.34,0,0,0,BULLCOIN,,0.0,,unknown
2025-10-03,CmLrhRd762bfytq6f3ZV5iuivN1Q8oyPw4evyW4Mbonk,Pochita,Watch,1.0,6.75,1.0,-1.0,1.0,94.78,9881.525,0,0,0,Pochita,,0.0,,unknown
2025-10-03,8X4TnmkHzavxEJuaYTkqjFbUgrwBgaXVuRHhGFR2pump,viewer,Watch,1.0,1.54,1.0,1.0,1.0,5.85,9677.815,0,0,0,in a streamers world,,0.0,,unknown
2025-10-02,2sjdF9vLNWkTpK2XgY2kVWCL4YTMu6vaVA4VxrzUpump,67,Watch,1.0,1.04,1.0,1.0,1.0,1048261.63,69032.16,0,0,0,67coin,,0.0,,unknown
2025-10-02,A8YHuvQBMAxXoZAZE72FyC8B7jKHo8RJyByXRRffpump,XBT,Watch,1.0,1.94,1.0,1.0,-1.0,572439.22,476424.435,0,0,0,XBT,,0.0,,unknown
2025-10-02,5NnL7oRMtVW3ZqAt95gJQs12Fbz2caCYh9rgy1kQpump,Useless,Watch,1.0,1.08,1.0,1.0,1.0,259058.62,55021.31,0,0,0,Useless Coin,,0.0,,unknown
2025-10-02,44DNPJ2qisA7MMaUmKK5SXvAcPyV7bEzmnK7oYJkbonk,1nu,Watch,1.0,1.98,1.0,1.0,1.0,381723.15,55695.165,0,0,0,1nu,,0.0,,unknown
2025-10-02,14GMPMf3cRANLfJ9QYU19F5XogVGPjCB7f3NLACrpump,DETECTIVE,Watch,1.0,1.06,1.0,1.0,1.0,116875.81,22064.075,0,0,0,Just can't prove it,,0.0,,unknown
2025-10-02,3vz82EWYv8xnc7Cm7qSgERcpMeqw92PcX8PBz88npump,USDUT,Watch,1.0,1.64,1.0,1.0,1.0,150085.03,158970.91,0,0,0,unstable tether,,0.0,,unknown
2025-10-02,HD3JBABeFkdZwUgKwhwJYqjLNrPWXEaDVfH4uMqRpump,USEFUL,Watch,1.0,1.14,1.0,1.0,1.0,101300.21,97105.02,0,0,0,USEFUL COIN,,0.0,,unknown
2025-10-02,CEqFiJoB6HLncfeieBw3PKKm9wyqrpSHV3VH4qZApump,CHARLIE,Watch,1.0,1.83,1.0,1.0,1.0,137026.63,132739.975,0,0,0,RIP CHARLIE KIRK,,0.0,,unknown
2025-10-02,GuLvigFjAm1yyReTk6EeboHNnLj1tCi62pzWLorxbonk,SHITTER,Watch,1.0,1.9,1.0,1.0,1.0,131205.17,29303.45,0,0,0,SHITTERCOIN,,0.0,,unknown
2025-10-02,2UfyNHveDrYDogW1LypkworjhYVEte8tLDqRTZbguPLx,T-2049,Watch,1.0,2.83,1.0,-1.0,1.0,169127.72,73807.98499999999,0,0,0,Token 2049,,0.0,,unknown
2025-10-02,7ukFzJA7V6f28YieCjXcEXqiK8tAfbyXyvK6b36pump,early,Watch,1.0,1.89,1.0,1.0,1.0,82561.20999999999,66578.59,0,0,0,not wrong just early,,0.0,,unknown
2025-10-02,6FtbGaqgZzti1TxJksBV4PSya5of9VqA9vJNDxPwbonk,gib,Watch,1.0,1.9,1.0,1.0,1.0,80038.14,179821.17,0,0,0,gib,,0.0,,unknown
2025-10-02,Et2bFLuPCW77hGW2g7UdrboPVuxatFZt4BaCzhCqpump,BAR,Watch,1.0,2.68,1.0,-1.0,1.0,86519.25,61524.03,0,0,0,BullArena,,0.0,,unknown
2025-10-02,3BrXeqzNKUKsM6MgkWFZX4E2cY8SiwYNwwmVzP2Rpump,walkusa,Watch,1.0,1.87,1.0,1.0,1.0,31216.6,40511.52,0,0,0,WALKING ACROSS AMERICA,,0.0,,unknown
2025-10-02,7PzU4m13VqkdgWcserfBdxX4cAPQXaZuFNuKarnT1deV,VIBECODER,Watch,1.0,2.64,1.0,-1.0,1.0,32675.95,59085.545,0,0,0,Vibe Coding Meta,,0.0,,unknown
2025-10-02,GS3pHMUtYSu5PPuDFey74frkiRQhPdvx8jEeN6Qzbonk,pibble,Watch,1.0,1.51,1.0,1.0,-1.0,16265.91,11634.345,0,0,0,pibble,,0.0,,unknown
