date,address,symbol,vol_1d,vol_3d,vol_5d,vol_10d,liq_1d,liq_3d,liq_5d,vol_mom_3v1,vol_mom_5v3,liq_mom_3v1,zscore_vol_10d,zscore_liq_10d
2025-10-02,iD9FqgeKmp58a4pTvh45MtKkHkudKNptFRdR8m6pump,MINDWORMS,370.19,569.25,569.25,569.25,8662.39,8668.130000000001,8668.130000000001,1.537723871525433,1.0,1.000662634677035,1.0,-1.000000000000079
2025-10-02,GS3pHMUtYSu5PPuDFey74frkiRQhPdvx8jEeN6Qzbonk,pibble,10742.41,16265.91,16265.91,16265.91,9789.19,11634.345,11634.345,1.514176986355948,1.0,1.188489037397374,1.0,-1.0
2025-10-02,AkhHVVk58FmoS8h1fDWzHMZ9YrnqHcZi97mFzhjbpump,KENNY,6.7,8.96,8.96,8.96,8389.54,8324.665,8324.665,1.337313432835821,1.0,0.9922671564829538,0.9999999999999998,1.0
2025-10-02,C8Hyu6bjPtuaTJ4Fj6V6L99rhUkkCuKByNZTyXiCpump,Streamless,19.34,25.68,25.68,25.68,10152.23,9796.685,9796.685,1.327817993795243,1.0,0.964978630310779,1.0,1.0
2025-10-02,GCU5AT6U8bKYK76KBssLf5a3a3KoNoMGStaVdfeipump,Mementoe,57.85,67.3,67.3,67.3,8326.25,8382.619999999999,8382.619999999999,1.163353500432152,1.0,1.006770154631437,1.0,-0.9999999999999919
2025-10-02,HD3JBABeFkdZwUgKwhwJYqjLNrPWXEaDVfH4uMqRpump,USEFUL,88560.81,101300.21,101300.21,101300.21,106667.13,97105.02,97105.02,1.143849181144572,1.0,0.9103556081428271,1.0,1.0
2025-10-02,5NnL7oRMtVW3ZqAt95gJQs12Fbz2caCYh9rgy1kQpump,Useless,240068.21,259058.62,259058.62,259058.62,73563.77,55021.31,55021.31,1.07910422625303,1.0,0.7479403244287235,1.0,1.0
2025-10-02,14GMPMf3cRANLfJ9QYU19F5XogVGPjCB7f3NLACrpump,DETECTIVE,110479.88,116875.81,116875.81,116875.81,26675.7,22064.075,22064.075,1.057892260563643,1.0,0.8271226247108792,1.0,1.0
2025-10-02,2sjdF9vLNWkTpK2XgY2kVWCL4YTMu6vaVA4VxrzUpump,67,1008177.73,1048261.63,1048261.63,1048261.63,80684.73,69032.16,69032.16,1.03975876356642,1.0,0.8555789924561935,1.0,0.9999999999999997
2025-10-02,VnqKnEybGaw6G5ZAdjvPDri5RzDLPXznqxBunG13GJE,YAO,8481.83,8511.69,8511.69,8511.69,62061.65,31479.55,31479.55,1.00352046669174,1.0,0.5072303105057632,0.9999999999999998,1.0
2025-10-02,4h49bD28nPPLXWB1ZmP8JPuv4iKk3KzFpS8bSmGJpump,MOONCOIN,5.57,5.57,5.57,5.57,8005.21,8005.21,8005.21,1.0,1.0,1.0,0.0,0.0
2025-10-02,4ky1REfghVawQ6EPZGdx7zss5KNKStwE8swjii3uU5sD,MOCHI,267.34,267.34,267.34,267.34,24574.96,24574.96,24574.96,1.0,1.0,1.0,0.0,0.0
2025-10-02,8ghXDEBVbbYtfdV2cU8jpqsNmiZtDkSjBYmRzj8cpump,1cat,99.0,99.0,99.0,99.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2025-10-02,8z55m3BmsPkmDfi5b5dAomBvYi1cDmW92hrEJTLdpump,PILL,48.33,48.33,48.33,48.33,11153.88,11153.88,11153.88,1.0,1.0,1.0,0.0,0.0
2025-10-02,B1PrDviUajpkxghL1v2w2P8jnxu3FNjcxUDdBNanPLyR,Supershiro,5.79,5.79,5.79,5.79,8265.62,8265.62,8265.62,1.0,1.0,1.0,0.0,0.0
2025-10-02,CmLrhRd762bfytq6f3ZV5iuivN1Q8oyPw4evyW4Mbonk,Pochita,80.74,80.74,80.74,80.74,9632.41,9632.41,9632.41,1.0,1.0,1.0,0.0,0.0
2025-10-02,Fk6e19okXWGxtrHmXBLzkFeDPR2uuyeVYsqGyt89pump,GAZABOY,5.3,5.3,5.3,5.3,8495.11,8495.11,8495.11,1.0,1.0,1.0,0.0,0.0
2025-10-02,H2zbT5whzb2ZpM1fQ8gqhTQ5V3ytywSYMdto9Dcy5r3e,COUNT,3.86,3.86,3.86,3.86,8411.92,8411.92,8411.92,1.0,1.0,1.0,0.0,0.0
2025-10-03,A8YHuvQBMAxXoZAZE72FyC8B7jKHo8RJyByXRRffpump,XBT,3.73,572442.95,572442.95,572442.95,17.34,317622.07,317622.07,153469.9597855228,1.0,18317.30507497117,-1.411855887028904,-1.414195424589232
2025-10-03,6FtbGaqgZzti1TxJksBV4PSya5of9VqA9vJNDxPwbonk,gib,2.66,80040.8,80040.8,80040.8,83.75,119908.6966666667,119908.6966666667,30090.52631578947,1.0,1431.745631840796,-1.408819089764611,-1.413867360727354
2025-10-03,HD3JBABeFkdZwUgKwhwJYqjLNrPWXEaDVfH4uMqRpump,USEFUL,13.22,101313.43,101313.43,101313.43,61.11,64757.05,64757.05,7663.648260211799,1.0,1059.680085092456,-0.8636179556960711,-1.394057099868172
2025-10-03,EzcwA7anSrdoH1TMKjbBTd91GD7KwMco9kFZh1AApump,obvious,2.75,139.25,139.25,139.25,9548.35,9221.643333333333,9221.643333333333,50.63636363636363,1.0,0.9657839661651838,-0.7166036742148956,1.414213562373096
2025-10-03,DKffyw1oEVWR3ik7q7tb2shhmZ3jbTkRzT6R5banCxai,AI20X,3.93,96.16,96.16,96.16,3029302.92,2935512.876666666,2935512.876666666,24.46819338422392,1.0,0.9690390674652856,-1.382984564178678,1.316753404318987
